timestamp,service,metric,value,unit
2024-01-27T10:40:00Z,database,memory_percent,79.8,percent
2024-01-27T10:40:00Z,database,connections,88,count
2024-01-27T10:45:00Z,api-gateway,cpu_percent,36.2,percent
2024-01-27T10:45:00Z,api-gateway,memory_percent,63.5,percent
2024-01-27T10:45:00Z,api-gateway,latency_ms,195,milliseconds
2024-01-27T10:45:00Z,database,cpu_percent,46.1,percent
2024-01-27T10:45:00Z,database,memory_percent,78.2,percent
2024-01-27T10:45:00Z,database,connections,82,count
2024-01-27T10:50:00Z,api-gateway,cpu_percent,35.8,percent
2024-01-27T10:50:00Z,api-gateway,memory_percent,62.9,percent
2024-01-27T10:50:00Z,api-gateway,latency_ms,188,milliseconds
2024-01-27T10:50:00Z,database,cpu_percent,45.2,percent
2024-01-27T10:50:00Z,database,memory_percent,77.6,percent
2024-01-27T10:50:00Z,database,connections,80,count
2024-01-27T10:00:00Z,payment-service,cpu_percent,42.5,percent
2024-01-27T10:00:00Z,payment-service,memory_percent,68.3,percent
2024-01-27T10:00:00Z,payment-service,request_rate,125,requests_per_second
2024-01-27T10:05:00Z,payment-service,cpu_percent,45.2,percent
2024-01-27T10:05:00Z,payment-service,memory_percent,71.8,percent
2024-01-27T10:05:00Z,payment-service,request_rate,132,requests_per_second
2024-01-27T10:10:00Z,payment-service,cpu_percent,48.7,percent
2024-01-27T10:10:00Z,payment-service,memory_percent,75.2,percent
2024-01-27T10:10:00Z,payment-service,request_rate,145,requests_per_second
2024-01-27T10:15:00Z,payment-service,cpu_percent,52.3,percent
2024-01-27T10:15:00Z,payment-service,memory_percent,79.6,percent
2024-01-27T10:15:00Z,payment-service,request_rate,158,requests_per_second
2024-01-27T10:20:00Z,payment-service,cpu_percent,58.9,percent
2024-01-27T10:20:00Z,payment-service,memory_percent,84.1,percent
2024-01-27T10:20:00Z,payment-service,request_rate,172,requests_per_second
2024-01-27T10:25:00Z,payment-service,cpu_percent,65.4,percent
2024-01-27T10:25:00Z,payment-service,memory_percent,88.7,percent
2024-01-27T10:25:00Z,payment-service,request_rate,185,requests_per_second
2024-01-27T10:30:00Z,payment-service,cpu_percent,72.8,percent
2024-01-27T10:30:00Z,payment-service,memory_percent,93.2,percent
2024-01-27T10:30:00Z,payment-service,request_rate,198,requests_per_second
2024-01-27T10:35:00Z,payment-service,cpu_percent,78.5,percent
2024-01-27T10:35:00Z,payment-service,memory_percent,96.8,percent
2024-01-27T10:35:00Z,payment-service,request_rate,205,requests_per_second
